repdomains,log2val,norm,strands,direction,window_number
ERD,-6.78607680242946,0.00906123365969912,-,Left Replicating,-47
ERD,-7.04554030911996,0.00756974119176263,+,Left Replicating,-47
ERD,-7.29580739429833,0.00636418992521528,-,Left Replicating,-46
ERD,-6.94914715661498,0.00809278982399659,+,Left Replicating,-46
ERD,-7.25936643375537,0.00652699009933186,-,Left Replicating,-45
ERD,-7.18921218606734,0.00685222297661888,+,Left Replicating,-45
ERD,-6.90742060587681,0.00833027243625705,-,Left Replicating,-44
ERD,-6.97811598009159,0.00793190998106619,+,Left Replicating,-44
ERD,-7.37756018400379,0.00601357995759148,-,Left Replicating,-43
ERD,-6.90869953838369,0.00832289101811745,+,Left Replicating,-43
ERD,-7.07463134878344,0.00741863075713465,-,Left Replicating,-42
ERD,-6.8704434357963,0.00854654221852513,+,Left Replicating,-42
ERD,-7.29372748122163,0.00637337170503029,-,Left Replicating,-95
ERD,-7.10674209830439,0.00725533478418263,+,Left Replicating,-95
ERD,-6.69130589927425,0.00967645350431433,-,Left Replicating,-41
ERD,-6.95127994095003,0.00808083482102512,+,Left Replicating,-41
ERD,-6.93183541358842,0.00819048492855354,-,Left Replicating,-40
ERD,-6.45954123753097,0.0113627729643122,+,Left Replicating,-40
ERD,-6.88422806693348,0.00846527078673341,-,Left Replicating,-39
ERD,-7.06288622679082,0.00747927307117942,+,Left Replicating,-39
ERD,-7.13882622184092,0.00709576417402433,-,Left Replicating,-38
ERD,-7.0802698869432,0.00738969283574157,+,Left Replicating,-38
ERD,-6.917150063406,0.00827428253696122,-,Left Replicating,-37
ERD,-6.67777502145223,0.0097676348168668,+,Left Replicating,-37
ERD,-7.03993482618723,0.00759921006355774,-,Left Replicating,-36
ERD,-6.90222182187861,0.00836034491104551,+,Left Replicating,-36
ERD,-7.02592540185438,0.00767336234807741,-,Left Replicating,-35
ERD,-7.00886453683617,0.00776464382565372,+,Left Replicating,-35
ERD,-7.03163289699804,0.00764306546589731,-,Left Replicating,-34
ERD,-7.09728577279482,0.00730304698256454,+,Left Replicating,-34
ERD,-6.88722859370125,0.00844768295607752,-,Left Replicating,-33
ERD,-6.815529159159,0.0088781256412365,+,Left Replicating,-33
ERD,-7.12521661068975,0.00716301852906704,-,Left Replicating,-32
ERD,-6.63635859009165,0.0100521046759814,+,Left Replicating,-32
ERD,-7.20715905094807,0.00676751056044885,-,Left Replicating,-94
ERD,-6.98401928890859,0.00789952001394663,+,Left Replicating,-94
ERD,-6.83250223776271,0.00877428791443841,-,Left Replicating,-31
ERD,-6.98908400873238,0.00787183660954058,+,Left Replicating,-31
ERD,-6.96458157976491,0.0080066719927402,-,Left Replicating,-30
ERD,-6.8844931074041,0.00846371575728472,+,Left Replicating,-30
ERD,-6.88422806693348,0.00846527078673341,-,Left Replicating,-29
ERD,-7.14450067410296,0.00706790971225961,+,Left Replicating,-29
ERD,-7.0318894245723,0.00764170656281306,-,Left Replicating,-28
ERD,-6.92744607917899,0.00821544205470895,+,Left Replicating,-28
ERD,-6.65271634835165,0.00993877425876496,-,Left Replicating,-27
ERD,-6.65387316743954,0.00993080808772955,+,Left Replicating,-27
ERD,-6.78844705768478,0.00904635885752177,-,Left Replicating,-26
ERD,-6.8071971488511,0.00892954791101145,+,Left Replicating,-26
ERD,-6.69373466328024,0.00966017698720157,-,Left Replicating,-25
ERD,-6.7863449396348,0.0090595497084623,+,Left Replicating,-25
ERD,-7.04374401091808,0.00757917213922212,-,Left Replicating,-24
ERD,-6.73989037654369,0.00935601327126934,+,Left Replicating,-24
ERD,-6.81202115667175,0.00889973962169154,-,Left Replicating,-23
ERD,-6.85569890614112,0.0086343368559443,+,Left Replicating,-23
ERD,-6.91060007323313,0.00831193407318724,-,Left Replicating,-22
ERD,-6.6779590063033,0.00976638924368573,+,Left Replicating,-22
ERD,-7.20102331944734,0.00679635383718198,-,Left Replicating,-93
