dataset,chromosomes,start_position,end_position,score,dataset_strand,product,phase,time_after_exposure,sample_strand,replicate,xr_ds,windows
TSS,.,0,100,0,NTS,64_PP,early,12,.,_,1.24908955691436,67
TSS,.,0,100,0,NTS,CPD,early,12,.,_,1.48003188040315,67
TSS,.,0,100,0,TS,64_PP,early,12,.,_,1.1511173723116,67
TSS,.,0,100,0,TS,CPD,early,12,.,_,1.45878914628104,67
TSS,.,0,100,0,NTS,64_PP,early,12,.,_,1.20027127515282,68
TSS,.,0,100,0,NTS,CPD,early,12,.,_,1.45561042620476,68
TSS,.,0,100,0,TS,64_PP,early,12,.,_,1.15728255082707,68
TSS,.,0,100,0,TS,CPD,early,12,.,_,1.48692211886863,68
TSS,.,0,100,0,NTS,64_PP,early,12,.,_,1.14068914021482,-84
TSS,.,0,100,0,NTS,CPD,early,12,.,_,1.36565059343224,-84
TSS,.,0,100,0,TS,64_PP,early,12,.,_,1.13109419047747,-84
TSS,.,0,100,0,TS,CPD,early,12,.,_,1.40501358757839,-84
TSS,.,0,100,0,NTS,64_PP,early,12,.,_,1.20967143308134,69
TSS,.,0,100,0,NTS,CPD,early,12,.,_,1.48953073696297,69
TSS,.,0,100,0,TS,64_PP,early,12,.,_,1.1500277739673,69
TSS,.,0,100,0,TS,CPD,early,12,.,_,1.47059435099919,69
TSS,.,0,100,0,NTS,64_PP,early,12,.,_,1.22630616171211,70
TSS,.,0,100,0,NTS,CPD,early,12,.,_,1.46339226518292,70
TSS,.,0,100,0,TS,64_PP,early,12,.,_,1.16252818785006,70
TSS,.,0,100,0,TS,CPD,early,12,.,_,1.48794388216387,70
TSS,.,0,100,0,NTS,64_PP,early,12,.,_,1.24872817535778,71
TSS,.,0,100,0,NTS,CPD,early,12,.,_,1.49349666987658,71
TSS,.,0,100,0,TS,64_PP,early,12,.,_,1.17547997642453,71
TSS,.,0,100,0,TS,CPD,early,12,.,_,1.50482904250143,71
TSS,.,0,100,0,NTS,64_PP,early,12,.,_,1.21996234148256,72
TSS,.,0,100,0,NTS,CPD,early,12,.,_,1.49597140912199,72
TSS,.,0,100,0,TS,64_PP,early,12,.,_,1.17091591894935,72
TSS,.,0,100,0,TS,CPD,early,12,.,_,1.47131555918477,72
TSS,.,0,100,0,NTS,64_PP,early,12,.,_,1.22561023423956,73
TSS,.,0,100,0,NTS,CPD,early,12,.,_,1.48730865620691,73
TSS,.,0,100,0,TS,64_PP,early,12,.,_,1.20270781728167,73
TSS,.,0,100,0,TS,CPD,early,12,.,_,1.48683987643471,73
TSS,.,0,100,0,NTS,64_PP,early,12,.,_,1.19961382591401,74
TSS,.,0,100,0,NTS,CPD,early,12,.,_,1.43124778780034,74
TSS,.,0,100,0,TS,64_PP,early,12,.,_,1.15426783323717,74
TSS,.,0,100,0,TS,CPD,early,12,.,_,1.47882723848068,74
TSS,.,0,100,0,NTS,64_PP,early,12,.,_,1.18846141279096,75
TSS,.,0,100,0,NTS,CPD,early,12,.,_,1.47940244560131,75
TSS,.,0,100,0,TS,64_PP,early,12,.,_,1.1520497460364,75
TSS,.,0,100,0,TS,CPD,early,12,.,_,1.45635756356656,75
TSS,.,0,100,0,NTS,64_PP,early,12,.,_,1.20495878135004,76
TSS,.,0,100,0,NTS,CPD,early,12,.,_,1.52249114072107,76
