dataset,chromosomes,start_position,end_position,score,dataset_strand,product,phase,time_after_exposure,sample_strand,replicate,xr_ds,windows,sample
TSS,.,0,100,0,TS,CPD,early,120,.,_,1.58040109131178,97,CPD 120 min.
TSS,.,0,100,0,NTS,CPD,early,120,.,_,1.22025187919515,98,CPD 120 min.
TSS,.,0,100,0,TS,CPD,early,120,.,_,1.56471707680133,98,CPD 120 min.
TSS,.,0,100,0,NTS,CPD,early,120,.,_,1.29030879243615,-99,CPD 120 min.
TSS,.,0,100,0,TS,CPD,early,120,.,_,1.19900817148674,-99,CPD 120 min.
TSS,.,0,100,0,NTS,CPD,early,120,.,_,1.25572173250339,-81,CPD 120 min.
TSS,.,0,100,0,TS,CPD,early,120,.,_,1.17988659985382,-81,CPD 120 min.
TSS,.,0,100,0,NTS,CPD,early,120,.,_,1.22199126829615,99,CPD 120 min.
TSS,.,0,100,0,TS,CPD,early,120,.,_,1.53261435259062,99,CPD 120 min.
TSS,.,0,100,0,NTS,CPD,early,120,.,_,1.22767942428716,100,CPD 120 min.
TSS,.,0,100,0,TS,CPD,early,120,.,_,1.55786129727666,100,CPD 120 min.
TSS,.,0,100,0,NTS,CPD,early,120,.,_,1.27204397930729,-80,CPD 120 min.
TSS,.,0,100,0,TS,CPD,early,120,.,_,1.20275921488771,-80,CPD 120 min.
TSS,.,0,100,0,NTS,CPD,early,120,.,_,1.26500514484113,-79,CPD 120 min.
TSS,.,0,100,0,TS,CPD,early,120,.,_,1.19962350907581,-79,CPD 120 min.
TSS,.,0,100,0,NTS,CPD,early,120,.,_,1.25651133066351,-78,CPD 120 min.
TSS,.,0,100,0,TS,CPD,early,120,.,_,1.17910956475409,-78,CPD 120 min.
TSS,.,0,100,0,NTS,CPD,early,120,.,_,1.26655772966863,-77,CPD 120 min.
TSS,.,0,100,0,TS,CPD,early,120,.,_,1.18539113959332,-77,CPD 120 min.
TSS,.,0,100,0,NTS,CPD,early,120,.,_,1.2802379908151,-76,CPD 120 min.
TSS,.,0,100,0,TS,CPD,early,120,.,_,1.17459400814154,-76,CPD 120 min.
TSS,.,0,100,0,NTS,CPD,early,120,.,_,1.27256877449684,-75,CPD 120 min.
TSS,.,0,100,0,TS,CPD,early,120,.,_,1.18617738004726,-75,CPD 120 min.
TSS,.,0,100,0,NTS,CPD,early,120,.,_,1.28039023770132,-74,CPD 120 min.
TSS,.,0,100,0,TS,CPD,early,120,.,_,1.19626328342409,-74,CPD 120 min.
TSS,.,0,100,0,NTS,CPD,early,120,.,_,1.28491604465333,-73,CPD 120 min.
TSS,.,0,100,0,TS,CPD,early,120,.,_,1.17111705849846,-73,CPD 120 min.
TSS,.,0,100,0,NTS,CPD,early,120,.,_,1.28563620388319,-72,CPD 120 min.
TSS,.,0,100,0,TS,CPD,early,120,.,_,1.17857392135827,-72,CPD 120 min.
TSS,.,0,100,0,NTS,CPD,early,120,.,_,1.24511529616955,-98,CPD 120 min.
TSS,.,0,100,0,TS,CPD,early,120,.,_,1.20956821597349,-98,CPD 120 min.
TSS,.,0,100,0,NTS,CPD,early,120,.,_,1.27760515167179,-71,CPD 120 min.
TSS,.,0,100,0,TS,CPD,early,120,.,_,1.16807206956181,-71,CPD 120 min.
TSS,.,0,100,0,NTS,CPD,early,120,.,_,1.31078659224103,-70,CPD 120 min.
TSS,.,0,100,0,TS,CPD,early,120,.,_,1.18020763453323,-70,CPD 120 min.
TSS,.,0,100,0,NTS,CPD,early,120,.,_,1.26597164602108,-69,CPD 120 min.
TSS,.,0,100,0,TS,CPD,early,120,.,_,1.22036653032373,-69,CPD 120 min.
TSS,.,0,100,0,NTS,CPD,early,120,.,_,1.27835097959512,-68,CPD 120 min.
TSS,.,0,100,0,TS,CPD,early,120,.,_,1.18315036639688,-68,CPD 120 min.
TSS,.,0,100,0,NTS,CPD,early,120,.,_,1.32647805972937,-67,CPD 120 min.
TSS,.,0,100,0,TS,CPD,early,120,.,_,1.22716713052935,-67,CPD 120 min.
TSS,.,0,100,0,NTS,CPD,early,120,.,_,1.26848202016982,-66,CPD 120 min.
TSS,.,0,100,0,TS,CPD,early,120,.,_,1.18797104332245,-66,CPD 120 min.
TSS,.,0,100,0,NTS,CPD,early,120,.,_,1.27816650970011,-65,CPD 120 min.
TSS,.,0,100,0,TS,CPD,early,120,.,_,1.20724734007102,-65,CPD 120 min.
TSS,.,0,100,0,NTS,CPD,early,120,.,_,1.27682291202097,-64,CPD 120 min.
TSS,.,0,100,0,TS,CPD,early,120,.,_,1.20320493028604,-64,CPD 120 min.
TSS,.,0,100,0,NTS,CPD,early,120,.,_,1.28791520528696,-63,CPD 120 min.
TSS,.,0,100,0,TS,CPD,early,120,.,_,1.19489107334423,-63,CPD 120 min.
TSS,.,0,100,0,NTS,CPD,early,120,.,_,1.30006917163245,-62,CPD 120 min.
TSS,.,0,100,0,TS,CPD,early,120,.,_,1.17874420780736,-62,CPD 120 min.
